EDAD;SEXO;LOCALIDAD;MUNICIPIO_NACIMIENTO;MODALIDAD ;CENTRO.FORMACIÓN;TIPO.COLEGIO.EST;GRADO.TERMINADO;ESTRATO;PUNTAJE_SISBEN;TIPO.FORMACIÓN;ESTUDIA.TRABAJA;ESTADO.FORMACIÓN;SENASOFT
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;6;5;TECNÓLOGO;2;RETIRADO;
23;F;1;MEDELLIN;PRESENCIAL;CEET;PRIVADO;ONCE;6;5;COMPLEMENTARIA;1;EN FORMACIÓN;
23;F;1;MEDELLIN;VIRTUAL;CDM;PRIVADO;ONCE;6;5;TÉCNICO;2;CANCELADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;4;5;COMPLEMENTARIA;1;TRASLADADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;3;4;COMPLEMENTARIA;1;EN FORMACIÓN;
23;M;1;ENVIGADO;VIRTUAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;EN FORMACIÓN;
16;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;5;5;TECNÓLOGO;1;EN FORMACIÓN;150
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;5;5;TÉCNICO;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;5;5;TECNÓLOGO;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;4;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;4;5;COMPLEMENTARIA;2;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;6;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;3;3;COMPLEMENTARIA;2;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;6;5;COMPLEMENTARIA;1;RETIRADO;
23;F;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;5;5;COMPLEMENTARIA;1;RETIRADO;
23;M;1;MEDELLIN;VIRTUAL;CTT;PRIVADO;ONCE;4;5;COMPLEMENTARIA;1;RETIRADO;
